time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MLTrader,8e7de91e56784c289ef254a0b29943c4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,8e7de91e56784c289ef254a0b29943c4,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,2587e17a7b6b41f0bb9850a40161d9f4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,2587e17a7b6b41f0bb9850a40161d9f4,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,183.0,0.0
2023-06-01 09:30:00-04:00,MLTrader,47f8b80867f54845a10ac08e902dff97,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,MLTrader,1e6791d2f88947019aeb6602663c4621,SPY,buy,stop,fill,1,day,0.0,1,stock,426.34918395996095,128.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,f7ed45154c194ba2bc504d9f2734a900,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,d620f393ef2c4a818ba2f3032f6abad8,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,000fcba7422b42f78318b27a1cc74ceb,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,17aa818c5d4a421ca1dcdc455c8a6979,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,000fcba7422b42f78318b27a1cc74ceb,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,183.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,17aa818c5d4a421ca1dcdc455c8a6979,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,199.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,fb834b938a0b4e31b85973d9fe9bd85a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,c191fb01899b499ab58736d33914ba7c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
